baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000026479.13	663.232605126212	3.25907935828814	0.135220581394715	24.1019475339686	2.38489793504839e-128	1.00681629968186e-125
ENSMUSG00000035557.9	5639.06988526492	11.8802569545021	0.493677980825839	24.0647900370773	5.84491249954738e-128	2.41815719931274e-125
ENSMUSG00000019866.15	1632.60555940139	2.94422881406042	0.122677604165048	23.9997254111623	2.799202300414e-127	1.13537840757576e-124
ENSMUSG00000038807.19	1117.20287921999	2.96436902613749	0.124613058715096	23.788590511328	4.38355733580694e-125	1.74381282785581e-122
ENSMUSG00000026639.18	426.225881632273	4.3017715003492	0.181535368518724	23.6966026810665	3.9085489132636e-124	1.52551401546738e-121
ENSMUSG00000029019.8	418.75952997398	5.45664203047698	0.230882184491652	23.6338808145428	1.72901213235745e-123	6.6233972166567e-121
ENSMUSG00000056413.16	486.377422482267	5.937894369701	0.254397563512754	23.3410033009349	1.70091011078956e-120	6.39727755487144e-118
ENSMUSG00000015468.14	463.314793464507	5.99872086789887	0.25864664278593	23.1927265835951	5.3917084008318e-119	1.99165857106441e-116
ENSMUSG00000005968.14	900.316944439272	2.82747928362914	0.122159556413821	23.1457887261062	1.60289425320835e-118	5.81710009155577e-116
ENSMUSG00000063011.7	8462.77193962503	1.9481061065755	0.0841759082389361	23.1432739762753	1.69913935639975e-118	6.06006840111815e-116
ENSMUSG00000046410.10	439.970503053735	4.26486287545036	0.185020472432484	23.0507620015221	1.44524377000087e-117	5.06717163156575e-115
ENSMUSG00000041607.17	437.959236282431	5.01684132194231	0.219186527305906	22.8884566200576	6.05463261441073e-116	2.08743550436167e-113
ENSMUSG00000024479.3	745.916951712431	7.47913949862923	0.330506616513355	22.629318521758	2.23023302830493e-113	7.5630492497567e-111
ENSMUSG00000018920.11	363.472990256114	3.70248718457767	0.163936754774427	22.5848510278992	6.10645146526185e-113	2.03738798403882e-110
ENSMUSG00000021118.7	399.469617824208	5.28716033119603	0.235191327530166	22.4802520854766	6.47705430702686e-112	2.12673564119298e-109
ENSMUSG00000030513.14	1227.65487788322	2.4736247998271	0.110091375822521	22.4688335607219	8.37623074118421e-112	2.70735482987714e-109
ENSMUSG00000042377.8	350.236279646502	4.3440384364746	0.193526385321615	22.4467502416035	1.37676284305027e-111	4.38149479559046e-109
ENSMUSG00000020435.17	376.588227054603	4.64764021631671	0.207614317039025	22.3859331215732	5.39641422237462e-111	1.69136703945517e-108
ENSMUSG00000084128.10	455.512350899766	4.29458098081713	0.192040885726562	22.3628471852186	9.05481053657268e-111	2.79563896656034e-108
ENSMUSG00000002799.6	445.830793914721	4.57616169961939	0.207303019760147	22.074746932843	5.52728429842981e-108	1.6814323970194e-105
ENSMUSG00000026380.10	349.710396489503	4.8824232962748	0.221704815717373	22.0221797189054	1.76563829261933e-107	5.29333242335122e-105
ENSMUSG00000044017.16	438.273095852533	6.25982784234248	0.286330120895435	21.8622749949123	5.94084026764317e-106	1.75560316823524e-103
ENSMUSG00000068876.16	633.905432034325	7.56678652708529	0.346690172769944	21.8257889072225	1.32039657427589e-105	3.84700331485508e-103
ENSMUSG00000025813.14	498.509613757452	3.09687699956268	0.142016488845832	21.8064608182543	2.01471631467193e-105	5.78839190073659e-103
ENSMUSG00000024011.17	380.268688944012	5.1675088287271	0.237090085040461	21.7955501084966	2.55701669596706e-105	7.24581470859927e-103
ENSMUSG00000037411.10	7312.45878450316	-2.11262667459907	0.0969388906198898	-21.7933861331564	2.68076658756319e-105	7.49382940950435e-103
ENSMUSG00000038732.15	746.615592356309	2.98821515406744	0.138105653474875	21.6371674792522	8.02862115433773e-104	2.2144007626484e-101
ENSMUSG00000026110.15	400.943576889431	3.48242317468481	0.16118735336312	21.6048163954878	1.61830641067838e-103	4.40477452780171e-101
ENSMUSG00000056724.15	627.352587982287	3.2006173726951	0.148596234693312	21.53902068448	6.71106052740272e-103	1.80292205285523e-100
ENSMUSG00000044041.4	962.353518667871	8.68932138766821	0.40412364460393	21.5016406579832	1.50280290902643e-102	3.98551038155395e-100
ENSMUSG00000063727.3	1654.5739871428	-2.42151651586331	0.112918147627655	-21.444883455299	5.09737689752197e-102	1.3347384620524e-99
ENSMUSG00000033987.16	751.926534566271	4.69054830047272	0.219375105313555	21.3814064898954	1.99039686074852e-101	5.14666868268047e-99
ENSMUSG00000003526.12	343.818500560691	4.92322192737618	0.230676348353553	21.3425518589814	4.57294238692801e-101	1.16785044711102e-98
ENSMUSG00000033644.5	531.956903652374	7.24123628493004	0.34159075378101	21.1985722821183	9.84375917049525e-100	2.48326831952274e-97
ENSMUSG00000022665.15	15843.3899235759	-1.66569587278226	0.0786699846905919	-21.1732070284928	1.68679458693501e-99	4.20397985847441e-97
ENSMUSG00000003279.17	465.771378834167	6.63017273167233	0.313349882879723	21.1590081692077	2.2796740799285e-99	5.61396881159536e-97
ENSMUSG00000044646.15	626.125331079762	3.28213252651971	0.156090237446061	21.0271480152876	3.70249713282194e-98	9.01057125759467e-96
ENSMUSG00000022055.7	421.849421746588	5.57594930163128	0.265481674296228	21.0031419924284	6.13883355183014e-98	1.47660361457161e-95
ENSMUSG00000023043.7	431.35535886878	6.15239584634366	0.293885679551745	20.9346568220939	2.58922771589082e-97	6.15640971619742e-95
ENSMUSG00000041439.15	887.380515599408	2.84978132073418	0.136151304323453	20.9309880275843	2.79639853065528e-97	6.57344318240172e-95
ENSMUSG00000000308.14	361.181891292572	6.06350366792416	0.292394445245724	20.7374105989889	1.59271795666168e-95	3.70190602825882e-93
ENSMUSG00000016028.11	379.50657194787	6.33178836549943	0.305615372642622	20.7181605779485	2.37590093052927e-95	5.4608762943254e-93
ENSMUSG00000057963.9	694.731923809628	3.18863419606234	0.154423973208584	20.6485698419078	1.00552646470276e-94	2.28574949987268e-92
ENSMUSG00000017861.11	452.362163904004	3.31921408354687	0.161080929936635	20.605878578256	2.43068608697469e-94	5.4653448255607e-92
ENSMUSG00000029832.16	323.820325590272	4.9032923877962	0.238217959890918	20.5832187885476	3.88039461346102e-94	8.63116591118867e-92
ENSMUSG00000021678.9	343.25635625072	4.2099320616059	0.204712580516788	20.5650871625872	5.63984659364451e-94	1.2411262408099e-91
ENSMUSG00000024812.11	1849.17292053701	2.05024214177	0.0998509919970385	20.5330172566619	1.09180390770233e-93	2.37737427734004e-91
ENSMUSG00000028179.12	527.652842028892	3.04548340021101	0.148343877345892	20.5298894345999	1.16439501396415e-93	2.50902867279816e-91
ENSMUSG00000030353.15	644.893216877777	2.66399463206947	0.12978007927329	20.5269918695277	1.23593112106053e-93	2.6357186773462e-91
ENSMUSG00000025582.4	424.901163667964	3.10602449367241	0.151452469039224	20.5082460086405	1.81730460600169e-93	3.83599623262765e-91
ENSMUSG00000030093.7	368.922095489529	6.51665213568974	0.319217097555296	20.4144833895086	1.24338968446483e-92	2.59805646594338e-90
ENSMUSG00000041362.17	459.464167658655	3.38092236714802	0.165669414265802	20.4076436325393	1.43015308535197e-92	2.9584146723591e-90
ENSMUSG00000071847.13	976.184186519639	2.16983794273045	0.107289970973619	20.2240519131465	6.01352731825988e-91	1.23164184262895e-88
ENSMUSG00000053030.11	715.533367583437	8.16020615535284	0.403800072731267	20.2085306725131	8.23635139175557e-91	1.67036436166525e-88
ENSMUSG00000022865.14	1017.91216053078	3.41251771817118	0.169231352300684	20.1648079494628	1.99519927285997e-90	4.00705749110498e-88
ENSMUSG00000039457.4	325.372060966862	3.87501149958176	0.192374985968844	20.143011213575	3.09909343678767e-90	6.12725423884933e-88
